timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1758373200,Sep 20 2025 - 1:00pm,complete,N/A,Bologna,Genoa,N/A,4,3.00,1.00,3.00,0.33,2,1,3,0,0,0,"90'9,73","63",8,2,1,0,5,0,1,0,3,2,14,7,6,4,8,3,12,15,59,41,1.38,1.44,1.64,0.85,1.50,50,50,0,0,0,0,50,0,100,15.00,6.00,1.87,3.20,4.60,1.50,2.56,4.80,11.00,2.15,1.68,Stadio Renato Dall'Ara
1758384000,Sep 20 2025 - 4:00pm,complete,N/A,Hellas Verona,Juventus,N/A,4,1.00,3.00,0.67,2.00,1,1,2,2,1,1,"44","19",5,3,3,0,3,0,2,1,2,1,14,10,4,4,10,6,18,10,28,72,2.22,1.33,1.34,1.33,0.50,0,0,0,0,0,0,0,0,50,14.00,4.00,6.40,3.88,1.52,1.31,2.17,3.54,7.10,2.10,1.65,Stadio Marc'Antonio Bentegodi
1758393900,Sep 20 2025 - 6:45pm,complete,N/A,Udinese,AC Milan,N/A,4,1.00,3.00,0.67,2.33,0,3,3,1,0,1,"","39,46,53",1,4,2,0,0,0,1,1,0,0,10,13,4,6,6,7,9,7,40,60,1.48,1.63,1.25,1.55,2.00,50,100,0,0,0,0,0,100,100,10.00,3.00,4.20,3.73,1.77,1.33,1.91,3.70,6.75,1.85,1.87,Dacia Arena
1758450600,Sep 21 2025 - 10:30am,complete,N/A,Lazio,Roma,N/A,4,3.00,3.00,1.33,3.00,0,1,1,1,0,1,"","38",3,6,1,2,1,0,0,3,0,1,10,13,2,6,8,7,14,22,49,51,2.12,1.49,0.99,1.60,2.50,0,50,50,50,0,50,50,0,100,15.00,1.00,2.86,3.15,2.51,1.40,2.38,4.10,9.00,1.92,1.83,Stadio Olimpico
1758459600,Sep 21 2025 - 1:00pm,complete,N/A,Torino,Atalanta,N/A,4,1.00,1.00,0.50,1.67,0,3,3,3,0,3,"","38,30,34",1,0,0,0,0,0,0,0,0,0,11,9,5,5,6,4,11,9,39,61,1.01,1.10,1.34,1.19,1.00,50,50,0,0,0,0,0,50,50,9.00,4.00,3.40,3.25,2.25,1.35,2.12,3.54,6.70,1.85,1.91,Stadio Olimpico Grande Torino
1758459600,Sep 21 2025 - 1:00pm,complete,N/A,Cremonese,Parma,N/A,4,3.00,0.00,2.00,0.33,0,0,0,0,0,0,"","",3,3,1,0,0,0,0,1,0,0,3,15,1,3,2,12,16,8,52,48,1.40,1.36,0.44,1.48,3.50,50,100,50,50,50,50,75,75,100,10.50,3.50,2.47,3.05,2.50,1.30,2.08,3.60,7.00,1.73,1.84,Stadio Giovanni Zini
1758470400,Sep 21 2025 - 4:00pm,complete,N/A,Fiorentina,Como,N/A,4,0.00,0.00,0.00,1.33,1,2,3,1,1,0,"6","65,90'4",2,6,4,0,3,0,1,3,1,2,8,19,1,7,7,12,16,19,39,61,1.75,1.28,0.78,2.04,2.50,50,50,50,50,0,50,50,50,100,12.00,3.00,2.44,3.00,3.00,1.33,2.05,3.32,7.50,1.75,2.07,Stadio Artemio Franchi
1758480300,Sep 21 2025 - 6:45pm,complete,N/A,Inter Milan,Sassuolo,N/A,4,1.50,0.00,2.25,1.00,2,1,3,1,1,0,"14,81","84",7,3,2,0,1,0,1,1,0,1,20,9,6,5,14,4,15,8,61,39,1.97,1.23,2.22,1.11,4.50,75,100,100,75,75,100,100,75,75,13.50,2.50,1.31,5.75,9.74,1.15,1.50,2.25,3.72,1.80,1.76,Stadio Giuseppe Meazza
1758566700,Sep 22 2025 - 6:45pm,complete,N/A,Napoli,Pisa,N/A,4,3.00,1.00,3.00,0.33,3,2,5,1,1,0,"73,82,39","60,90",5,3,1,0,2,0,0,1,0,2,18,15,6,6,12,9,10,18,64,36,2.21,1.05,1.89,1.53,1.50,50,50,0,0,0,0,50,0,100,17.00,2.00,1.30,5.00,10.85,1.25,1.92,3.33,6.10,2.35,1.57,Stadio San Paolo
1758978000,Sep 27 2025 - 1:00pm,complete,N/A,Como,Cremonese,N/A,5,2.00,2.00,1.67,1.25,1,1,2,1,1,0,"32","69",4,3,3,1,4,0,2,2,1,3,14,9,6,2,8,7,16,17,58,42,1.69,0.68,1.49,0.91,1.75,50,75,25,0,0,25,50,25,75,4.50,5.50,1.44,4.60,7.60,1.25,1.84,2.90,5.50,1.95,1.80,Stadio Giuseppe Sinigaglia
1758988800,Sep 27 2025 - 4:00pm,complete,N/A,Juventus,Atalanta,N/A,5,3.00,2.00,2.00,1.67,1,1,2,1,0,1,"78","45'1",14,5,0,0,2,1,0,0,1,2,24,12,10,2,14,10,6,7,67,33,1.92,1.14,2.86,1.05,3.50,50,100,50,25,25,50,50,75,75,6.50,3.50,1.91,3.50,4.25,1.33,2.06,3.40,6.50,1.83,1.91,N/A
1758998700,Sep 27 2025 - 6:45pm,complete,N/A,Cagliari,Inter Milan,N/A,5,2.00,0.00,1.33,1.50,0,2,2,1,0,1,"","9,82",4,4,0,0,2,0,0,0,1,1,6,20,0,5,6,15,13,14,42,58,1.44,1.94,0.66,1.95,4.50,75,100,50,50,50,50,75,75,100,12.50,5.50,5.70,4.30,1.55,1.22,1.78,2.75,5.50,1.75,1.95,Sardegna Arena
1759055400,Sep 28 2025 - 10:30am,complete,N/A,Sassuolo,Udinese,N/A,5,1.50,3.00,2.00,2.00,3,1,4,2,2,0,"8,12,81","55",1,5,0,0,3,0,0,0,2,1,11,12,5,5,6,7,5,22,44,56,0.95,1.26,1.31,1.39,1.75,25,50,25,0,0,25,75,0,50,6.00,7.00,2.40,3.15,3.15,1.40,2.15,3.67,7.80,1.85,1.92,MAPEI Stadium - Città del Tricolore
1759064400,Sep 28 2025 - 1:00pm,complete,N/A,Pisa,Fiorentina,N/A,5,0.00,1.00,0.33,1.00,0,0,0,0,0,0,"","",4,6,0,0,1,0,0,0,1,0,11,14,1,2,10,12,15,15,39,61,1.01,1.04,1.06,1.25,1.00,25,25,0,0,0,0,25,25,50,7.00,3.50,3.40,3.10,2.23,1.39,2.35,4.50,10.00,1.91,1.83,Arena Garibaldi - Stadio Romeo Anconetani
1759064400,Sep 28 2025 - 1:00pm,complete,N/A,Roma,Hellas Verona,N/A,5,1.50,0.50,2.00,0.33,2,0,2,1,1,0,"7,79","",8,1,0,0,4,0,0,0,2,2,10,12,5,3,5,9,11,19,57,43,1.85,1.10,1.33,1.29,2.00,25,50,25,25,0,25,25,25,100,5.50,2.50,1.32,4.40,8.50,1.32,2.05,3.67,6.25,2.30,1.57,Stadio Olimpico
1759075200,Sep 28 2025 - 4:00pm,complete,N/A,Lecce,Bologna,N/A,5,0.00,0.00,0.33,0.33,2,2,4,2,1,1,"13,90'4","45'1,71",3,9,4,0,2,0,0,4,1,1,12,14,4,5,8,9,13,13,33,67,1.12,0.74,1.24,1.54,1.75,25,50,25,0,0,25,25,25,100,8.00,3.00,4.55,2.96,1.73,1.40,2.40,4.05,10.00,2.00,1.75,Stadio Comunale Via del Mare
1759085100,Sep 28 2025 - 6:45pm,complete,N/A,AC Milan,Napoli,N/A,5,1.50,3.00,2.00,2.00,2,1,3,2,2,0,"3,31","60",1,7,1,1,0,0,0,2,0,0,6,19,3,7,3,12,7,7,37,63,1.90,1.53,0.69,2.23,2.50,50,75,50,25,0,50,75,25,100,11.50,2.50,2.38,3.20,3.91,1.33,2.10,3.72,9.00,1.85,1.91,Stadio Giuseppe Meazza
1759163400,Sep 29 2025 - 4:30pm,complete,N/A,Parma,Torino,N/A,5,1.00,1.50,1.33,1.00,2,1,3,1,1,0,"36,72","50",4,3,3,0,3,0,1,2,1,2,13,15,2,4,11,11,10,12,37,63,0.97,1.11,1.20,1.65,2.50,50,75,25,25,25,25,25,75,100,5.50,3.50,2.48,2.87,3.00,1.40,2.35,4.33,9.00,1.95,1.92,N/A
1759171500,Sep 29 2025 - 6:45pm,complete,N/A,Genoa,Lazio,N/A,5,0.50,0.00,0.33,1.00,0,3,3,2,0,2,"","4,30,63",6,0,5,0,1,0,2,3,1,0,17,9,5,6,12,3,18,16,65,35,0.83,1.00,1.69,1.34,1.00,0,25,0,0,0,0,0,25,75,6.50,4.50,3.00,3.10,2.44,1.50,2.40,4.70,10.00,2.00,1.81,Stadio Comunale Luigi Ferraris
1759517100,Oct 03 2025 - 6:45pm,complete,N/A,Hellas Verona,Sassuolo,N/A,6,1.00,0.00,0.67,1.00,0,1,1,0,0,0,"","71",4,2,2,0,3,0,1,1,1,2,17,11,9,3,8,8,14,12,58,42,1.78,1.17,2.09,1.14,2.50,75,75,50,25,25,50,75,50,50,11.00,4.00,2.50,3.20,2.80,1.40,2.23,4.10,8.50,1.90,1.85,Stadio Marc'Antonio Bentegodi
1759582800,Oct 04 2025 - 1:00pm,complete,N/A,Lazio,Torino,N/A,6,1.50,1.00,1.33,1.00,3,3,6,3,2,1,"24,40,90'13","16,73,90'3",3,5,3,0,3,0,0,3,1,2,9,16,4,8,5,8,13,22,49,51,1.56,1.29,1.16,1.76,2.75,17,59,59,42,17,42,84,34,75,9.50,4.50,1.90,3.40,4.35,1.32,2.07,3.60,8.00,1.95,1.80,Stadio Olimpico
